"lessonTitle","lessonId","userId","factText","factAnswer","fileName","fileType","fileId","factId","presentationStartTime","presentationDuration","reactionTime","sessionTime","correct","givenResponse","backSpaceUsed","backSpacedFirstLetter","numberOfChoices","lookAheadTime","forgetThreshold","maxAlpha","minAlpha","keyCode","keyCharacter","keyTime","sessionId","aggregateResponse"
"English-Swahili A",1266,60538,"knee","goti",,,,57498,1625507929684,2322,1725,425475,TRUE,"goti",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"71;79;84;73","G;O;T;I","1625507931409;1625507931509;1625507931674;1625507931786","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60538,"bull","fahali",,,,60264,1625507933016,2660,1785,429145,TRUE,"fahali",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"70;65;72;65;76;73","F;A;H;A;L;I","1625507934801;1625507935042;1625507935135;1625507935239;1625507935344;1625507935505","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60538,"corn","nafaka",,,,60272,1625507936686,5816,5816,435971,FALSE,"",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"","","","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60538,"doctor","tabibu",,,,57508,1625507945714,6007,1699,445190,TRUE,"tabibu",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"84;65;66;73;66;85","T;A;B;I;B;U","1625507947413;1625507947691;1625507947759;1625507947916;1625507948074;1625507948212","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60538,"rope","kamba",,,,60270,1625507952730,3773,,449972,TRUE,"kamba",TRUE,TRUE,0,15000,-0.8,0.5,0.15,"77;65;66;8;8;8;8;75;65;77;66;65","M;A;B;;;;;K;A;M;B;A","1625507953946;1625507954467;1625507954796;1625507955148;1625507955300;1625507955450;1625507955622;1625507955802;1625507955911;1625507955979;1625507956165;1625507956260","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60538,"economy","iktisadi",,,,57497,1625507957513,5518,1592,456500,TRUE,"iktisadi",TRUE,FALSE,0,15000,-0.8,0.5,0.15,"73;84;8;75;84;73;83;65;68;73","I;T;;K;T;I;S;A;D;I","1625507959105;1625507959663;1625507960837;1625507961231;1625507961635;1625507961827;1625507962182;1625507962369;1625507962526;1625507962623","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60538,"corn","nafaka",,,,60272,1625507964041,2349,1419,459859,TRUE,"nafaka",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"78;65;70;65;75;65","N;A;F;A;K;A","1625507965460;1625507965538;1625507965728;1625507965954;1625507966066;1625507966118","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60538,"tailor","mshoni",,,,60265,1625507967400,4816,1178,465685,TRUE,"mshoni",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"77;83;72;79;78;73","M;S;H;O;N;I","1625507968578;1625507969541;1625507969617;1625507969774;1625507969936;1625507970030","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60538,"leech","ruba",,,,57501,1625507973225,2031,1678,468725,TRUE,"ruba",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"82;85;66;65","R;U;B;A","1625507974903;1625507974939;1625507975064;1625507975202","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
"English-Swahili A",1266,60538,"forgery","ubini",,,,60267,1625507976266,3062,2315,472797,TRUE,"ubini",FALSE,FALSE,0,15000,-0.8,0.5,0.15,"85;66;73;78;73","U;B;I;N;I","1625507978581;1625507978700;1625507978780;1625507978920;1625507979020","e510f95d-b96e-484c-a8b7-3ebf5e45d2f4",FALSE
